brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,gpu_brand,gpu_type,display_size,resolution_width,resolution_height
msi,MSI Thin GF63 12VE-664IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),322006,76,intel,core i7,10,16,SSD,1024,NONE,nvidia,dedicated,15.6,1920,1080
msi,MSI Thin GF63 12VF-663IN Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),348566,77,intel,core i7,10,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
msi,MSI Katana 17 B12VGK-672IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),497966,79,intel,core i7,10,16,SSD,1024,NONE,nvidia,dedicated,17.3,1920,1080
msi,MSI Pulse 17 B13VGK-666IN Gaming Laptop (13th Gen Core i7/ 8GB/ 1TB SSD/ Win11 Home/ 8GB Graph),497966,76,intel,core i7,14,8,SSD,1024,NONE,nvidia,dedicated,17.3,2560,1440
msi,MSI Katana 17 B12VFK-668IN Gaming Laptop (12th Gen Core i7/ 8GB/ 1TB SSD/ Win11 Home/ 8GB Graph),381766,77,intel,core i7,10,8,SSD,1024,NONE,nvidia,dedicated,17.3,1920,1080
msi,MSI Thin GF63 11UCX-1497IN Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),185886,69,intel,core i5,6,8,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
msi,MSI Thin GF63 11UCX-1496IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),195846,71,intel,core i5,6,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
msi,MSI Thin GF63 11SC-1493IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),185886,70,intel,core i5,6,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
msi,MSI Pulse 17 B13VGK-652IN Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),663966,83,intel,core i9,14,16,SSD,1024,NONE,nvidia,dedicated,17.3,1920,1080
hp,HP Victus 15-fa1064TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),396408,72,intel,core i7,14,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
hp,HP Victus  15-fa1060TX  Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),331996,71,intel,core i5,12,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
lenovo,Lenovo Ideapad Slim 3 15ITL05 81X800N1IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),124500,59,intel,core i3,2,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
hp,HP Omen 16-u0023TX Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),794472,86,intel,core i9,24,32,SSD,1024,NONE,nvidia,dedicated,16.1,2560,1600
hp,HP Omen 16-wf0052TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),440228,75,intel,core i5,14,16,SSD,512,NONE,nvidia,dedicated,16.1,1920,1080
hp,HP Victus 15-fb0153AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),169316,67,amd,ryzen 5,6,8,SSD,512,NONE,amd,dedicated,15.6,1920,1080
asus,Asus VivoBook 14 2023 X1404ZA-NK321WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),124792,59,intel,core i3,6,8,SSD,512,NONE,intel,integrated,14.0,1920,1080
asus,Asus Vivobook 15 X1504ZA-NJ325WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),122806,57,intel,core i3,6,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
lenovo,Lenovo IdeaPad Slim 5 82XE004RIN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11),195846,64,amd,ryzen 5,6,16,SSD,512,NONE,amd,integrated,14.0,1920,1200
hp,HP Envy x360 13-bf0141tu Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),348719,67,intel,core i7,10,16,SSD,512,NONE,intel,integrated,13.3,2880,1800
lenovo,Lenovo IdeaPad Slim 3 82XQ008VIN Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11),146046,58,amd,ryzen 5,4,16,SSD,512,NONE,amd,integrated,15.6,1920,1080
hp,HP Omen 16-wd0770TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),337976,72,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,16.1,1920,1080
asus,Asus Vivobook 16X 2023 K3605ZC-MBN741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),315366,72,intel,core i7,10,16,SSD,512,NONE,nvidia,dedicated,16.0,1920,1200
asus,Asus Vivobook Pro 15 M6500QFB-LK541WS Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),232366,66,amd,ryzen 5,6,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
acer,Acer Predator 16 NH.QLUSI.005 Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),531166,79,intel,core i9,24,16,SSD,1024,NONE,nvidia,dedicated,16.0,2560,1600
asus,Asus Vivobook Pro 15 M6500QFB-LK742WS Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),242326,72,amd,ryzen 7,8,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
msi,MSI Prestige 16 A13UCX-250IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graphic),398366,73,intel,core i7,14,16,SSD,1024,NONE,nvidia,dedicated,16.0,2560,1600
hp,HP Victus 15-fb0134AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),187546,70,amd,ryzen 5,6,16,SSD,512,NONE,amd,dedicated,15.6,1920,1080
dell,Dell Inspiron 3520 IN3520KTMFJ001ORS1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),123772,58,intel,core i3,2,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
lenovo,Lenovo IdeaPad Slim 5 82XD003PIN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),230720,60,intel,core i5,8,16,SSD,512,NONE,intel,integrated,14.0,1920,1200
asus,Asus VivoBook 15 X1500EA-EJ326WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),108862,54,intel,core i3,2,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
lenovo,Lenovo LOQ 15IRH8 82XV00F7IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),325326,72,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
hp,HP Pavilion x360 14-ek1074TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),259292,67,intel,core i5,10,16,SSD,512,NONE,intel,integrated,14.0,1920,1080
lenovo,Lenovo LOQ 15IRH8 82XV00F6IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),303746,71,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
hp,HP 15s-fr2515TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),122142,60,intel,core i3,2,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
lenovo,Lenovo LOQ 15APH8 82XT004HIN 2023 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),293909,73,amd,ryzen 7,8,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
asus,Asus Vivobook 15 X1502ZA-EJ545WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),199166,64,intel,core i5,10,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
msi,MSI Vector GP68HX 13VH-072IN Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 12GB Graph),995966,89,intel,core i9,24,32,SSD,1024,NONE,nvidia,dedicated,16.0,2560,1600
lenovo,Lenovo LOQ 15APH8 82XT004JIN 2023 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),331966,73,amd,ryzen 7,8,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
hp,HP Omen 16-wf0111TX Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),488006,77,intel,core i7,16,16,SSD,1024,NONE,nvidia,dedicated,16.1,1920,1080
lenovo,Lenovo LOQ 15APH8 82XT009CIN 2023 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),365166,75,amd,ryzen 7,8,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
hp,HP Omen 16-xf0059AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),408393,73,amd,ryzen 7,8,16,SSD,512,NONE,nvidia,dedicated,16.0,1920,1080
asus,Asus Vivobook Go 15 E510MA-EJ001W Laptop (Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home),86286,45,intel,celeron,2,4,SSD,256,NONE,intel,integrated,15.6,1920,1080
hp,HP Omen 16-wf0055TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),464766,77,intel,core i7,16,16,SSD,512,NONE,nvidia,dedicated,16.1,1920,1080
acer,Acer Nitro 5 AN515-58 NH.QFHSI.008 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),224096,65,intel,core i5,8,8,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
acer,Acer Aspire Lite AL15-51 2023 Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11),119486,58,amd,ryzen 5,6,8,SSD,512,NONE,amd,integrated,15.6,1920,1080
lenovo,Lenovo Yoga Book 9i 2023 82YQ001DIN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),747630,73,intel,core i7,10,16,SSD,1024,NONE,intel,integrated,13.3,2880,1800
hp,HP 255 G8 Laptop (AMD Athlon 3050U/ 4GB/ 256GB SSD/ Win11),76326,44,amd,other,2,4,SSD,256,NONE,amd,integrated,15.6,1920,1080
dell,Dell Inspiron 5330 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),280506,60,intel,core i5,12,16,SSD,512,NONE,intel,integrated,13.3,2560,1600
dell,Dell XPS 15 9530 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),854866,85,intel,core i7,14,16,SSD,1024,NONE,nvidia,dedicated,15.6,3456,2160
dell,Dell Inspiron 5330 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),318686,63,intel,core i7,12,16,SSD,512,NONE,intel,integrated,13.3,2560,1600
asus,Asus Vivobook 15 X1504ZA-NJ321WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),130774,57,intel,core i3,6,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
dell,Dell Inspiron 5518 D560667WIN9S Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 2GB Graph),202188,65,intel,core i5,4,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
msi,MSI Prestige 14 Evo B12M-472IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),272206,63,intel,core i5,12,16,SSD,512,NONE,intel,integrated,14.0,1920,1080
lenovo,Lenovo IdeaPad Slim 5i 82XF003DIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),298431,63,intel,core i7,14,16,SSD,512,NONE,intel,integrated,16.0,1920,1200
dell,Dell Alienware X16 Gaming Laptop (13th Gen Core i9/ 32GB/ 2TB SSD/ Win 11/ 16GB Graph),1508906,83,intel,core i9,14,32,SSD,2048,NONE,nvidia,dedicated,16.0,3200,1800
dell,Dell Inspiron 5425 Laptop (AMD Ryzen 75825U/ 16GB/ 512GB SSD/ Win11) 84 votes,225394,65,amd,ryzen 7,8,16,SSD,512,NONE,amd,integrated,14.0,1920,1080
dell,Dell Alienware X16 R1 2023 Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11/ 12GB Graph),1075646,85,intel,core i9,24,32,SSD,1024,NONE,nvidia,dedicated,16.0,3200,1800
dell,Dell Alienware m16 2023 Gaming Laptop (AMD Ryzen 7 7745HX/ 16GB/ 1TB SSD/ Win 11/ 8GB Graph),627446,80,amd,ryzen 7,8,16,SSD,1024,NONE,nvidia,dedicated,16.0,1920,1200
msi,MSI Modern 15 B12M-613IN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),122806,58,intel,core i3,6,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
msi,MSI Creator Pro M16 B13VI-1273IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win 11/ 6GB Graph),529297,77,intel,core i7,14,16,SSD,1024,NONE,nvidia,dedicated,16.0,1920,1200
msi,MSI Prestige 14H B12UCX-412IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/Win11 Home/ 4GB Graphic),298766,71,intel,core i5,12,16,SSD,512,NONE,nvidia,dedicated,14.0,1920,1200
dell,Dell Alienware M18 R1 2023 Gaming Laptop (13th Gen Core i9/ 64GB/ 1TB SSD/ Win 11/ 16GB Graph),1497286,83,intel,core i9,24,4,SSD,1024,NONE,nvidia,dedicated,18.0,3200,1800
hp,HP 15s-fy5005TU Laptop (12th Gen Core i3/ 8GB/ 1TB SSD/ Win11 Home),145200,56,intel,core i3,6,8,SSD,1024,NONE,intel,integrated,15.6,1920,1080
lenovo,Lenovo Yoga 6 83B2005TIN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),248966,69,amd,ryzen 5,6,16,SSD,512,NONE,amd,integrated,13.3,1920,1200
asus,Asus Vivobook 16X 2023 K3605ZF-MBN543WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),215766,72,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,16.0,1920,1200
asus,Asus Vivobook 16X 2023 K3605ZF-MBN741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),295480,75,intel,core i7,10,16,SSD,512,NONE,nvidia,dedicated,16.0,1920,1200
lenovo,Lenovo IdeaPad Flex 5 82R900D9IN Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),215766,72,amd,ryzen 7,8,16,SSD,512,NONE,amd,integrated,14.0,1920,1200
hp,HP 15s-fy5004TU Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),144088,57,intel,core i3,6,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
lenovo,Lenovo IdeaPad Slim 3 82XQ008GIN Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11),134758,57,amd,ryzen 5,4,8,SSD,512,NONE,amd,integrated,15.6,1920,1080
asus,Asus Vivobook Pro 15 M6500QC-LK542WS Laptop (AMD R5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),232400,70,amd,ryzen 5,6,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
asus,Asus ROG Zephyrus G16 2023 GU603ZU-N3023WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),471403,82,intel,core i7,14,16,SSD,1024,NONE,nvidia,dedicated,16.0,2560,1600
lg,LG Gram 14 2023 14Z90R-G.CH54A2 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),328676,67,intel,core i5,12,16,SSD,512,NONE,intel,integrated,14.0,1200,1920
dell,Dell Alienware m16 Gaming Laptop (AMD Ryzen 9 7845HX/ 32GB/ 2TB SSD/ Win 11/ 12GB Graph),995966,89,amd,ryzen 9,12,32,SSD,2048,NONE,nvidia,dedicated,16.0,1920,1200
acer,Acer Nitro 16 AN16-41 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),431566,80,amd,ryzen 7,8,16,SSD,512,NONE,nvidia,dedicated,16.0,1920,1200
lenovo,Lenovo IdeaPad Flex 5 82XX007KIN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),219086,69,amd,ryzen 5,6,16,SSD,512,NONE,amd,integrated,14.0,1920,1200
acer,Acer Aspire 5 2023 A515-58M Gaming Laptop (13th Gen Core i7/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graphic),250656,59,intel,core i7,10,8,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
hp,HP Chromebook x360 14a-ca0505TU Laptop (Intel Celeron N4120/ 4GB/ 64GB eMMC/ Chrome OS),86286,44,intel,celeron,4,4,HDD,64,NONE,intel,integrated,14.0,1366,768
asus,Asus Vivobook Pro 15 M6500QC-LK742WS Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),254312,72,amd,ryzen 7,8,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
hp,HP ZBook Firefly 16 G9 2023 Workstation PC Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 4GB Graphics),420976,69,intel,core i5,10,16,SSD,1024,NONE,nvidia,dedicated,16.0,1920,1200
fujitsu,Fujitsu UH-X 4ZR1L12856 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),331966,73,intel,core i7,12,16,SSD,512,NONE,intel,integrated,14.0,1920,1200
hp,HP 2023 ZBook Firefly 16 G9 WUXGA Workstation Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics),442453,69,intel,core i7,10,16,SSD,512,NONE,nvidia,dedicated,16.0,1920,1200
acer,Acer Aspire Lite AL15-51 2023 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),139406,64,intel,core i5,4,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
hp,HP 15s-fq3073TU Laptop Intel Pentium Silver N6000/ 8GB/ 512GB SSD/ Win11 Home),109526,46,intel,pentium,4,8,SSD,512,NONE,intel,integrated,15.6,1366,768
hp,HP ZBook Firefly 16 G9 2023 Workstation Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics),399890,67,intel,core i5,10,16,SSD,512,NONE,nvidia,dedicated,16.0,1920,1200
asus,Asus ROG Zephyrus G14 GA402NJ-L8094WS Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),431566,71,amd,ryzen 7,8,16,SSD,512,NONE,nvidia,dedicated,14.0,2560,1600
lg,LG UltraPC 16 16U70R-G.AH56A2 Laptop (AMD Ryzen5-7530U/ 16GB/ 512GB SSD/ Win11),259952,72,amd,ryzen 5,6,16,SSD,512,NONE,amd,integrated,16.0,1920,1200
hp,HP ZBook Studio G9 16 WUXGA Workstation Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),763799,80,intel,core i7,14,16,SSD,1024,NONE,nvidia,dedicated,16.0,1920,1200
lenovo,Lenovo IdeaPad 1 82V6005CIN Laptop (Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home),80310,38,intel,celeron,2,4,SSD,256,NONE,intel,integrated,11.6,1366,768
lg,LG gram360 16 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),506296,78,intel,core i7,12,16,SSD,1024,NONE,intel,integrated,16.0,1600,2560
hp,HP Chromebook 15a-nb0002TU Laptop ( Intel Core i3-N305/ 8GB/ 256GB SSD/ Chrome OS),169286,38,intel,core i3,8,8,SSD,256,NONE,intel,integrated,15.6,1366,768
lg,LG Gram 14 2023 14Z90R-G.CH75A2 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),391424,69,intel,core i7,12,16,SSD,512,NONE,intel,integrated,14.0,1200,1920
acer,Acer Nitro 5 AN515-58 UN.QFHSI.026 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),239006,70,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
asus,Asus Vivobook 15 2023 X1504VA-NJ544WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),212446,65,intel,core i5,10,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
walker,Walker NU14A1 Laptop (Celeron N4020/ 4GB/ 128GB SSD / Win11 Home),53086,37,intel,celeron,2,4,SSD,128,NONE,intel,integrated,14.1,1920,1080
hp,HP 255 G8 6E3Z0PA Laptop (Ryzen 3 3250U/ 8GB/512GB SSD/ Dos),79676,52,amd,ryzen 3,2,8,SSD,512,NONE,amd,integrated,15.6,1366,768
dell,Dell Inspiron 14 5430 2023 Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11),217460,60,intel,core i5,10,8,SSD,1024,NONE,intel,integrated,14.0,1920,1200
dell,Dell Inspiron 2023 14 5430 Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),245646,63,intel,core i5,10,16,SSD,1024,NONE,intel,integrated,14.0,1920,1200
hp,HP Omen 16-wd0990TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),325356,73,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,16.1,2560,1440
lenovo,Lenovo S14 Gen 3 82TW001CIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),175926,62,intel,core i5,10,8,SSD,512,NONE,intel,integrated,14.0,1920,1080
lenovo,Lenovo IdeaPad Gaming 3 15ACH6 82K2022YIN Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),209126,65,amd,ryzen 5,6,8,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
msi,MSI Katana GF66 12UCOK 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),245646,65,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
lenovo,Lenovo ThinkBook 15 21JF002CIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ DOS),109224,59,amd,ryzen 3,4,8,SSD,512,NONE,amd,integrated,15.6,1920,1080
lenovo,Lenovo IdeaPad 1 14IGL7 82V6005EIN Laptop (Celeron Dual Core/ 8GB/ 256GB SSD/ Win11 Home),82966,50,intel,celeron,2,8,SSD,256,NONE,intel,integrated,14.0,1366,768
msi,MSI Thin GF63 11SC-1477IN Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),159326,67,intel,core i5,6,8,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
asus,Asus Vivobook 15 OLED 2023 X1505VAU-LK543WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),245646,60,intel,core i5,10,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
asus,Asus Vivobook 16X 2023 K3605ZU-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),331966,75,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,16.0,1920,1200
lenovo,Lenovo IdeaPad Gaming 3 82K101LHIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),175926,70,intel,core i5,4,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
asus,Asus Vivobook 15 2023 X1504VA-NJ543WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),205806,64,intel,core i5,10,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
lenovo,Lenovo ThinkPad E14 21JRS00T00 Laptop (AMD Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11 Home),230225,62,amd,ryzen 5,6,8,SSD,512,NONE,amd,integrated,14.0,1920,1200
lenovo,Lenovo IdeaPad Slim 3 2023 82X70033IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),149366,58,intel,core i3,5,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
hp,HP Envy x360 15-fe0028TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),320678,66,intel,core i5,10,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
hp,HP Envy x360 15-fe0027TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),292126,66,intel,core i5,10,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
hp,HP Envy x360 15-fh0016AU Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),287810,66,amd,ryzen 5,6,16,SSD,512,NONE,amd,integrated,15.6,1920,1080
hp,HP Envy x360 15-fh0019AU Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),291130,70,amd,ryzen 7,8,16,SSD,512,NONE,amd,integrated,15.6,1920,1080
hp,HP Envy x360 15-fh0015AU Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),261914,66,amd,ryzen 5,6,16,SSD,512,NONE,amd,integrated,15.6,1920,1080
hp,HP Envy x360 15-ew0041TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),278846,72,intel,core i5,10,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
hp,HP 14-em0025AU Laptop (AMD Ryzen  3 7320U/ 8GB/ 512GB SSD/ Win11 Home),129446,57,amd,ryzen 3,4,8,SSD,512,NONE,amd,integrated,14.0,1920,1080
hp,HP 14-em0027AU Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),169286,60,amd,ryzen 5,4,16,SSD,512,NONE,amd,integrated,14.0,1920,1080
asus,Asus Vivobook 15 X1502ZA-EJ523WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),185886,60,intel,core i5,12,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
dell,Dell Vostro 15 3510 Laptop (11th Gen Core i3/ 8GB/ 1TB 256GB SSD/ Win11 Home),130442,60,intel,core i3,2,8,HDD,1024,SSD,intel,integrated,15.6,1920,1080
hp,HP Pavilion Plus 14-eh1047TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11),357773,71,intel,core i7,14,16,SSD,512,NONE,intel,integrated,14.0,2880,1800
dell,Dell Inspiron 7430 2 in 1 Laptop (13th Gen Core i3/ 8GB/ 1TB SSD/ Win11),199166,56,intel,core i3,6,8,SSD,1024,NONE,intel,integrated,14.0,1920,1200
lenovo,Lenovo IdeaPad Gaming 3 82K2025LIN Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),242326,69,amd,ryzen 5,6,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
