brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,gpu_brand,gpu_type,display_size,resolution_width,resolution_height
hp,HP Victus 15-fb0158AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),172606,67,amd,ryzen 5,6,8,SSD,512,NONE,amd,dedicated,15.6,1920,1080
lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101PBIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),172606,67,intel,core i5,4,8,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
hp,HP Pavilion x360 14-ek1021TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),301087,70,intel,core i7,10,16,SSD,512,NONE,intel,integrated,14.0,1920,1080
lenovo,Lenovo IdeaPad Gaming 3 15IAH7 82S9014LIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),232366,66,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
lenovo,Lenovo S14 Gen 3 82TW001DIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),159326,56,intel,core i5,10,8,SSD,512,NONE,intel,integrated,14.0,1920,1080
lenovo,Lenovo Yoga Pro 7 82Y700A2IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),332630,65,intel,core i7,14,16,SSD,1024,NONE,intel,integrated,14.5,2560,1600
hp,HP 15-fc0027AU Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),133132,57,amd,ryzen 3,4,8,SSD,512,NONE,amd,integrated,15.6,1920,1080
lenovo,Lenovo Legion Slim 5 16APH8 82Y9008MIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),456466,83,amd,ryzen 7,8,16,SSD,512,NONE,nvidia,dedicated,16.0,2560,1600
lenovo,Lenovo ThinkBook 15 Gen 5 21JF0026MJ Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11),179246,69,amd,ryzen 7,8,16,SSD,512,NONE,amd,integrated,16.0,1920,1080
acer,Acer Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),142726,50,intel,core i3,5,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
asus,Asus VivoBook 15 X515MA-BR022WS Laptop (Celeron N4020/ 8GB/ 512GB SSD/ Win11 Home),93590,43,intel,celeron,2,8,SSD,512,NONE,intel,integrated,15.6,1366,768
fujitsu,Fujitsu CH 4ZR1L82434 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),245646,67,intel,core i7,10,16,SSD,512,NONE,intel,integrated,13.3,1920,1080
asus,Asus Vivobook 15X OLED M3504YA-LK752WS Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home),243897,67,amd,ryzen 7,8,16,SSD,1024,NONE,amd,integrated,15.6,1920,1080
asus,Asus Vivobook 15 X1502ZA-EJ993WS Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),149366,59,intel,core i3,6,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
asus,Asus Vivobook 15 X1504ZA-NJ542WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),200458,60,intel,core i5,10,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
hp,HP Pavilion 15-eg3018TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),251954,59,intel,core i5,10,16,SSD,1024,NONE,intel,integrated,15.6,1920,1080
hp,HP 15s-fq3066TU Laptop (Intel Celeron N4500/ 8GB/ 512GB SSD/ Win11 Home),92926,51,intel,celeron,2,8,SSD,512,NONE,intel,integrated,15.6,1366,768
lenovo,Lenovo Ideapad 3 15ITL06 82H803GUIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),122840,52,intel,core i3,2,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
lenovo,Lenovo IdeaPad Flex 5 82Y00053IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),292790,58,intel,core i7,10,16,SSD,512,NONE,intel,integrated,14.0,1920,1200
lenovo,Lenovo IdeaPad 3 82H803HRIN Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),209126,60,intel,core i7,4,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
asus,Asus Vivobook Pro 15 M6500QC-HN751WS Laptop (AMD Ryzen 7 5800HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics),245646,64,amd,ryzen 7,8,16,SSD,1024,NONE,nvidia,dedicated,15.6,1920,1080
asus,Asus Vivobook Pro 15 M6500QC-HN551WS Laptop (AMD Ryzen 5 5600HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics),232366,63,amd,ryzen 5,6,16,SSD,1024,NONE,nvidia,dedicated,15.6,1920,1080
lenovo,Lenovo Ideapad Slim 5 82XE004QIN Laptop (AMD Ryzen 5 7530U/ 16 GB RAM/ 512 GB SSD/ Win 11),220411,62,amd,ryzen 5,6,16,SSD,512,NONE,amd,integrated,14.0,1920,1200
hp,HP 250 G9 7N179PA Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),202516,58,intel,core i5,10,8,SSD,512,NONE,intel,integrated,15.6,1366,768
lenovo,Lenovo Ideapad Slim 5 82XF007CIN Laptop (13th Gen Core i5/ 16 GB RAM/ 1 TB SSD/ Win 11),239006,58,intel,core i5,12,16,SSD,1024,NONE,intel,integrated,16.0,1920,1200
lenovo,Lenovo IdeaPad Slim 5i 83BG000DIN Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11),205371,58,intel,core i5,8,16,SSD,512,NONE,intel,integrated,16.0,1920,1200
asus,Asus Vivobook 16X 2023 K3605ZC-MBN752WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),328646,73,intel,core i7,10,16,SSD,1024,NONE,nvidia,dedicated,16.0,1920,1200
